السبب,المصدر,التحقق من الصحة,الصفحات
صفحة بديلة تتضمن علامة أساسية مناسبة,موقع إلكتروني,لم تبدأ عملية التحقق,2
Soft 404,موقع إلكتروني,لم تبدأ عملية التحقق,1
لم يتم العثور عليها (404),موقع إلكتروني,لم تبدأ عملية التحقق,1
تم الزحف إلى الصفحة - لم تتم فهرستها حاليًا,أنظمة Google,لم تبدأ عملية التحقق,5
تم اكتشاف الصفحة - لم تتم فهرستها حتى الآن,أنظمة Google,لم تبدأ عملية التحقق,1
