التاريخ,غير مفهرسة,المفهرسة,عدد الظهور
2025-10-17,,,0
2025-10-18,,,3
2025-10-19,,,1
2025-10-20,,,5
2025-10-21,75,39,9
2025-10-22,10,125,19
2025-10-23,10,125,71
2025-10-24,10,125,169
2025-10-25,10,125,639
